EmployeeID,StoreID,EmployeeName,Gender,Department,Designation,Salary,JoiningDate,EmploymentType,Shift,Email,PhoneNumber,IsActive
EMP000032,ST0018,Kabir Bava,Male,Sales,Associate,27738,2026-04-09,Full-Time,Evening,emp000032@retailsphere.com,9298240323,Yes
EMP000033,ST0173,Omaja Sehgal,Female,Sales,Supervisor,53050,2012-05-20,Full-Time,Morning,emp000033@retailsphere.com,9276853952,Yes
EMP000034,ST0106,Ekbal Sahni,Male,Sales,Associate,28163,2018-03-04,Full-Time,Morning,emp000034@retailsphere.com,9911416222,Yes
EMP000035,ST0052,Upasna Bali,Female,Security,Senior Associate,32710,2016-08-10,Part-Time,Night,emp000035@retailsphere.com,9412980519,Yes
EMP000036,ST0185,Fiyaz Chaudhuri,Male,Sales,Associate,27218,2012-07-01,Full-Time,Morning,emp000036@retailsphere.com,9524866293,Yes
EMP000037,ST0150,Sachi Dua,Female,Sales,Associate,25091,2016-09-13,Full-Time,Evening,emp000037@retailsphere.com,9694354960,Yes
EMP000038,ST0118,Nimrat Mahajan,Female,Inventory,Associate,28404,2017-01-08,Full-Time,Morning,emp000038@retailsphere.com,9556506256,Yes
EMP000039,ST0016,Eiravati Bandi,Female,Sales,Supervisor,60358,2026-05-03,Full-Time,Morning,emp000039@retailsphere.com,9649110570,Yes
EMP000040,ST0074,Warda Thaman,Female,Sales,Supervisor,64235,2022-03-27,Contract,Evening,emp000040@retailsphere.com,9130285333,Yes
EMP000041,ST0095,Garima Patil,Female,Sales,Manager,139502,2015-04-06,Full-Time,Night,emp000041@retailsphere.com,9255502220,Yes
EMP000042,ST0012,Damyanti Kothari,Female,Sales,Associate,29686,2017-11-10,Full-Time,Morning,emp000042@retailsphere.com,9711538280,Yes
EMP000043,ST0155,Varenya Subramaniam,Female,Inventory,Associate,29296,2017-05-10,Part-Time,Evening,emp000043@retailsphere.com,9158744723,Yes
EMP000044,ST0074,Ayaan Suresh,Male,Sales,Associate,29145,2022-09-07,Full-Time,Evening,emp000044@retailsphere.com,9925395292,Yes
EMP000045,ST0101,Wazir Bhalla,Male,Sales,Supervisor,48000,2013-01-18,Contract,Morning,emp000045@retailsphere.com,9720547524,Yes
EMP000046,ST0080,Nidhi Agarwal,Female,Sales,Associate,22089,2021-03-10,Full-Time,Morning,emp000046@retailsphere.com,9355074246,Yes
EMP000047,ST0119,Amara Tara,Female,Sales,Senior Associate,35254,2022-12-28,Full-Time,Morning,emp000047@retailsphere.com,9618825802,Yes
EMP000048,ST0148,Jackson Sem,Male,Customer Support,Associate,30832,2023-04-11,Full-Time,Evening,emp000048@retailsphere.com,9132509451,Yes
EMP000049,ST0127,Nathaniel Parmar,Male,Security,Associate,23045,2013-10-23,Full-Time,Night,emp000049@retailsphere.com,9640389250,Yes
EMP000050,ST0028,Abdul Dutta,Male,Sales,Associate,25245,2026-01-04,Full-Time,Evening,emp000050@retailsphere.com,9806226778,Yes
EMP000051,ST0125,Jagrati Merchant,Female,Billing,Supervisor,58152,2014-03-08,Full-Time,Morning,emp000051@retailsphere.com,9709860248,Yes
EMP000052,ST0172,Ekantika Warrior,Female,Inventory,Associate,26897,2023-04-16,Full-Time,Evening,emp000052@retailsphere.com,9607378859,Yes
EMP000053,ST0187,Anmol Nazareth,Male,Billing,Associate,26182,2017-01-25,Contract,Morning,emp000053@retailsphere.com,9763444679,Yes
EMP000054,ST0134,Gaurang Sehgal,Male,Sales,Associate,24768,2013-06-24,Full-Time,Morning,emp000054@retailsphere.com,9746984912,Yes
EMP000055,ST0045,Zinal Korpal,Female,Sales,Senior Associate,34779,2014-12-29,Full-Time,Evening,emp000055@retailsphere.com,9200936791,Yes
EMP000056,ST0129,Karan Rana,Male,Inventory,Assistant Manager,87414,2015-09-20,Full-Time,Evening,emp000056@retailsphere.com,9906921739,Yes
EMP000057,ST0125,Amruta Agarwal,Female,Sales,Supervisor,47230,2023-01-22,Full-Time,Evening,emp000057@retailsphere.com,9822305152,Yes
EMP000058,ST0061,Janani Dugar,Female,Sales,Associate,29974,2017-07-31,Full-Time,Evening,emp000058@retailsphere.com,9792643120,Yes
EMP000059,ST0026,Tanish Ray,Male,Customer Support,Associate,24039,2018-10-08,Full-Time,Night,emp000059@retailsphere.com,9512676576,Yes
EMP000060,ST0042,Wridesh Datta,Male,Sales,Senior Associate,44406,2025-12-31,Full-Time,Morning,emp000060@retailsphere.com,9322031385,Yes
EMP000061,ST0027,Anjali Grewal,Female,Billing,Associate,25735,2019-02-23,Full-Time,Evening,emp000061@retailsphere.com,9701041516,Yes
EMP000062,ST0174,Vrinda Toor,Female,Sales,Associate,25949,2025-12-04,Full-Time,Evening,emp000062@retailsphere.com,9456409844,Yes
EMP000063,ST0021,Neel Sarma,Male,Inventory,Associate,23453,2018-01-23,Full-Time,Morning,emp000063@retailsphere.com,9450506985,No
EMP000064,ST0115,Aarini Kanda,Female,Sales,Associate,31548,2012-01-28,Part-Time,Morning,emp000064@retailsphere.com,9405579582,Yes
EMP000065,ST0171,Akshay Karnik,Male,Customer Support,Associate,24050,2025-03-19,Full-Time,Morning,emp000065@retailsphere.com,9373684983,Yes
EMP000066,ST0111,Ronith Toor,Male,Sales,Associate,25458,2025-06-18,Full-Time,Morning,emp000066@retailsphere.com,9330069583,Yes
EMP000067,ST0098,Sai Dhawan,Female,Sales,Associate,28118,2019-08-10,Full-Time,Evening,emp000067@retailsphere.com,9869640150,Yes
EMP000068,ST0047,Widisha Patel,Female,Billing,Associate,30456,2013-10-15,Full-Time,Morning,emp000068@retailsphere.com,9489585341,Yes
EMP000069,ST0123,Vincent Bail,Male,Inventory,Senior Associate,39880,2012-10-27,Part-Time,Evening,emp000069@retailsphere.com,9512064573,Yes
EMP000070,ST0136,Ryan Kulkarni,Male,Security,Associate,31594,2012-04-13,Full-Time,Night,emp000070@retailsphere.com,9828032790,Yes
EMP000071,ST0146,Ganga Murthy,Female,Sales,Associate,22838,2020-05-20,Full-Time,Morning,emp000071@retailsphere.com,9531158008,Yes
EMP000072,ST0013,Fariq Soman,Male,Customer Support,Associate,27522,2019-07-22,Full-Time,Night,emp000072@retailsphere.com,9364663440,Yes
EMP000073,ST0083,Pratyush Jha,Male,Security,Associate,25930,2019-04-22,Full-Time,Evening,emp000073@retailsphere.com,9672187970,Yes
EMP000074,ST0194,Oscar Raj,Male,Inventory,Senior Associate,40990,2012-06-22,Full-Time,Night,emp000074@retailsphere.com,9678724739,Yes
EMP000075,ST0163,Unni Kalita,Female,Sales,Associate,31684,2012-11-12,Full-Time,Morning,emp000075@retailsphere.com,9952948206,Yes
EMP000076,ST0136,Anya Walla,Female,Sales,Associate,26990,2013-01-15,Full-Time,Night,emp000076@retailsphere.com,9521990844,Yes
EMP000077,ST0200,Yutika Thakur,Female,Billing,Supervisor,47390,2022-02-10,Full-Time,Evening,emp000077@retailsphere.com,9784244685,Yes
EMP000078,ST0121,Wahab Jayaraman,Male,Inventory,Associate,23906,2015-09-16,Full-Time,Morning,emp000078@retailsphere.com,9734448691,Yes
EMP000079,ST0132,Wriddhish Varty,Male,Billing,Manager,117716,2019-06-22,Contract,Night,emp000079@retailsphere.com,9976183524,Yes
EMP000080,ST0090,Varsha Mani,Female,Billing,Associate,23343,2026-06-21,Full-Time,Morning,emp000080@retailsphere.com,9839661131,Yes
EMP000081,ST0146,Varsha Chaudry,Female,HR,Associate,23829,2016-02-25,Full-Time,Night,emp000081@retailsphere.com,9949773427,Yes
EMP000082,ST0031,Zehaan Gopal,Male,Customer Support,Associate,28226,2015-05-30,Full-Time,Morning,emp000082@retailsphere.com,9533831117,Yes
EMP000083,ST0119,Chandresh Verma,Male,Sales,Senior Associate,34471,2026-01-06,Full-Time,Evening,emp000083@retailsphere.com,9515179970,Yes
EMP000084,ST0025,Gagan Patel,Male,Security,Associate,30624,2016-12-11,Full-Time,Morning,emp000084@retailsphere.com,9562506454,Yes
EMP000085,ST0003,Waida Mohan,Female,Customer Support,Associate,27931,2017-02-26,Full-Time,Morning,emp000085@retailsphere.com,9762181337,Yes
EMP000086,ST0109,Noah Chowdhury,Male,Sales,Associate,23713,2015-09-06,Full-Time,Night,emp000086@retailsphere.com,9315839759,Yes
EMP000087,ST0179,Hemal Deshpande,Female,Billing,Associate,25093,2013-04-14,Full-Time,Morning,emp000087@retailsphere.com,9610993359,Yes
EMP000088,ST0003,Nirja Sanghvi,Female,Customer Support,Senior Associate,36567,2017-06-18,Part-Time,Night,emp000088@retailsphere.com,9653769465,Yes
EMP000089,ST0033,Pranav Sinha,Male,Sales,Associate,26127,2015-01-10,Full-Time,Morning,emp000089@retailsphere.com,9543189427,Yes
EMP000090,ST0114,Aahana Ratti,Female,Sales,Associate,25378,2024-12-26,Full-Time,Evening,emp000090@retailsphere.com,9817438403,Yes
EMP000091,ST0130,Niharika Gala,Female,Security,Associate,24815,2018-08-15,Full-Time,Morning,emp000091@retailsphere.com,9997495492,Yes
EMP000092,ST0107,Sachi Bandi,Female,Billing,Associate,30901,2023-07-23,Full-Time,Morning,emp000092@retailsphere.com,9804102515,Yes
EMP000093,ST0099,Ojas Kadakia,Male,HR,Senior Associate,40834,2019-02-07,Full-Time,Night,emp000093@retailsphere.com,9948449270,Yes
EMP000094,ST0153,Hiral Keer,Female,Inventory,Senior Associate,39089,2017-02-08,Part-Time,Evening,emp000094@retailsphere.com,9322790245,Yes
EMP000095,ST0195,Maya Tandon,Female,Sales,Associate,26361,2018-06-12,Full-Time,Morning,emp000095@retailsphere.com,9566443905,Yes
EMP000096,ST0052,Wakeeta Setty,Female,Customer Support,Associate,31973,2024-05-12,Full-Time,Morning,emp000096@retailsphere.com,9227619484,Yes
EMP000097,ST0055,Ryan Gera,Male,Security,Associate,24663,2020-10-06,Part-Time,Morning,emp000097@retailsphere.com,9245178569,Yes
EMP000098,ST0026,Hredhaan Dora,Male,Sales,Associate,23198,2013-06-02,Full-Time,Morning,emp000098@retailsphere.com,9122250925,Yes
EMP000099,ST0175,Max Chaudry,Male,Billing,Associate,22499,2016-09-08,Full-Time,Evening,emp000099@retailsphere.com,9846456090,Yes
EMP000100,ST0174,Bhavna Reddy,Female,Sales,Associate,28656,2020-07-30,Full-Time,Morning,emp000100@retailsphere.com,9858809257,Yes
EMP000101,ST0115,George Khare,Male,Inventory,Associate,24323,2020-04-14,Full-Time,Night,emp000101@retailsphere.com,9984002796,Yes
EMP000102,ST0103,Mitesh Chowdhury,Male,Security,Associate,24714,2021-10-06,Full-Time,Morning,emp000102@retailsphere.com,9146041016,Yes
EMP000103,ST0079,Janya Acharya,Female,Sales,Senior Associate,33892,2023-04-30,Full-Time,Morning,emp000103@retailsphere.com,9367650163,Yes
EMP000104,ST0116,Michael Lala,Male,Billing,Associate,28550,2018-05-02,Full-Time,Morning,emp000104@retailsphere.com,9356615158,Yes
EMP000105,ST0030,Madhav Dar,Male,HR,Senior Associate,37283,2024-04-24,Full-Time,Night,emp000105@retailsphere.com,9850847046,Yes
EMP000106,ST0011,Arin Chaudhari,Male,Inventory,Associate,27340,2015-08-04,Contract,Morning,emp000106@retailsphere.com,9866028825,Yes
EMP000107,ST0191,Qadim Bahri,Male,Sales,Associate,28741,2020-04-04,Part-Time,Night,emp000107@retailsphere.com,9908091615,Yes
EMP000108,ST0063,Isha Pandya,Female,Billing,Supervisor,56964,2023-02-11,Full-Time,Morning,emp000108@retailsphere.com,9727306338,Yes
EMP000109,ST0024,Falguni Dugal,Female,Billing,Associate,24678,2021-06-12,Full-Time,Morning,emp000109@retailsphere.com,9565377739,Yes
EMP000110,ST0142,Anvi Tripathi,Female,Sales,Senior Associate,34553,2023-11-08,Full-Time,Morning,emp000110@retailsphere.com,9958175640,Yes
EMP000111,ST0137,Shravya Bandi,Female,HR,Supervisor,49032,2022-09-10,Full-Time,Evening,emp000111@retailsphere.com,9822176726,Yes
EMP000112,ST0007,Indira Walia,Female,Inventory,Senior Associate,37557,2013-01-14,Full-Time,Night,emp000112@retailsphere.com,9795499203,Yes
EMP000113,ST0080,Faris Yohannan,Male,Billing,Associate,24411,2021-05-09,Full-Time,Evening,emp000113@retailsphere.com,9117314369,Yes
EMP000114,ST0051,Patrick Anand,Male,Sales,Supervisor,53871,2014-09-25,Full-Time,Morning,emp000114@retailsphere.com,9826067168,Yes
EMP000115,ST0051,Chakrika Talwar,Female,Billing,Associate,22678,2018-08-09,Full-Time,Morning,emp000115@retailsphere.com,9836848470,Yes
EMP000116,ST0139,Shaurya Venkatesh,Male,Customer Support,Associate,26120,2022-09-03,Full-Time,Evening,emp000116@retailsphere.com,9753686634,Yes
EMP000117,ST0199,Frado Narasimhan,Male,Sales,Associate,25175,2022-09-23,Full-Time,Evening,emp000117@retailsphere.com,9498785058,Yes
EMP000118,ST0065,Jasmit Thaman,Female,Customer Support,Associate,24612,2019-11-04,Full-Time,Morning,emp000118@retailsphere.com,9116701833,Yes
EMP000119,ST0104,Inaya Grewal,Female,HR,Associate,30211,2025-09-29,Part-Time,Evening,emp000119@retailsphere.com,9166520892,Yes
EMP000120,ST0187,Qabil Wagle,Male,Sales,Associate,22965,2017-09-26,Full-Time,Evening,emp000120@retailsphere.com,9687221548,Yes
EMP000121,ST0086,Ronith Chanda,Male,Security,Supervisor,45351,2014-12-11,Part-Time,Morning,emp000121@retailsphere.com,9838109022,Yes
EMP000122,ST0064,Deepa Chadha,Female,Sales,Associate,22845,2011-12-18,Full-Time,Evening,emp000122@retailsphere.com,9988903911,Yes
EMP000123,ST0161,Leena Bose,Female,Sales,Associate,23449,2014-12-25,Full-Time,Evening,emp000123@retailsphere.com,9665309970,Yes
EMP000124,ST0089,Aadi Shere,Male,Sales,Associate,23177,2022-06-23,Full-Time,Evening,emp000124@retailsphere.com,9792981259,Yes
EMP000125,ST0142,Zarna Srivastava,Female,Billing,Assistant Manager,69631,2011-10-28,Full-Time,Morning,emp000125@retailsphere.com,9474918031,Yes
EMP000126,ST0130,Adweta Loyal,Female,Inventory,Associate,30574,2019-03-04,Contract,Night,emp000126@retailsphere.com,9201213246,Yes
EMP000127,ST0171,Jack Ganesan,Male,Billing,Associate,29752,2016-06-24,Full-Time,Night,emp000127@retailsphere.com,9222334993,Yes
EMP000128,ST0118,Zayan Srivastava,Male,Customer Support,Associate,24461,2026-01-28,Full-Time,Night,emp000128@retailsphere.com,9184467490,Yes
EMP000129,ST0085,Mugdha Rout,Female,Customer Support,Associate,23126,2017-11-17,Full-Time,Evening,emp000129@retailsphere.com,9639158755,Yes
EMP000130,ST0137,Omkaar Dugar,Male,Sales,Associate,29894,2015-04-21,Full-Time,Evening,emp000130@retailsphere.com,9197905827,Yes
EMP000131,ST0048,Champak Iyengar,Male,Sales,Associate,26048,2018-05-12,Full-Time,Evening,emp000131@retailsphere.com,9917252535,Yes
EMP000132,ST0028,Balendra Kota,Male,Sales,Senior Associate,38037,2013-05-26,Full-Time,Morning,emp000132@retailsphere.com,9636112242,Yes
EMP000133,ST0079,Faqid Kohli,Male,Security,Associate,28110,2013-01-24,Full-Time,Evening,emp000133@retailsphere.com,9691925606,Yes
EMP000134,ST0114,Jhalak Borde,Female,Inventory,Assistant Manager,72051,2013-12-29,Full-Time,Morning,emp000134@retailsphere.com,9756338570,Yes
EMP000135,ST0145,Ayaan Din,Male,Sales,Associate,22261,2018-03-25,Contract,Night,emp000135@retailsphere.com,9747707242,Yes
EMP000136,ST0065,Oliver Mukherjee,Male,Sales,Associate,29301,2021-12-27,Full-Time,Evening,emp000136@retailsphere.com,9875670349,Yes
EMP000137,ST0012,Michael Joshi,Male,Inventory,Associate,30363,2017-09-17,Full-Time,Evening,emp000137@retailsphere.com,9507659515,Yes
EMP000138,ST0132,Kabir Peri,Male,Billing,Associate,30048,2018-04-23,Full-Time,Morning,emp000138@retailsphere.com,9881653622,Yes
EMP000139,ST0115,Abha Kanda,Female,Sales,Associate,31667,2015-12-01,Full-Time,Evening,emp000139@retailsphere.com,9936627683,Yes
EMP000140,ST0099,Peter Sathe,Male,Billing,Senior Associate,40012,2011-10-31,Full-Time,Night,emp000140@retailsphere.com,9202708750,Yes
EMP000141,ST0059,Pranit Pau,Male,Sales,Supervisor,57917,2017-02-28,Full-Time,Evening,emp000141@retailsphere.com,9700060904,Yes
EMP000142,ST0132,Aahana Pandit,Female,Sales,Manager,96400,2011-09-05,Full-Time,Morning,emp000142@retailsphere.com,9112116114,Yes
EMP000143,ST0011,Chaitanya Comar,Male,HR,Associate,23001,2015-04-12,Full-Time,Morning,emp000143@retailsphere.com,9942467643,Yes
EMP000144,ST0081,Dipta Dugal,Female,Billing,Associate,23862,2011-08-21,Full-Time,Evening,emp000144@retailsphere.com,9152967974,Yes
EMP000145,ST0172,Kevin Ramakrishnan,Male,Inventory,Associate,27539,2016-07-30,Full-Time,Night,emp000145@retailsphere.com,9116530673,Yes
EMP000146,ST0168,Nathaniel Walia,Male,Sales,Supervisor,48445,2019-11-13,Part-Time,Morning,emp000146@retailsphere.com,9513028329,Yes
EMP000147,ST0023,Ekaja Bajwa,Female,Sales,Associate,22426,2015-08-24,Full-Time,Night,emp000147@retailsphere.com,9500794550,Yes
EMP000148,ST0185,Girindra Ramanathan,Male,Billing,Associate,25809,2024-04-29,Full-Time,Evening,emp000148@retailsphere.com,9246574171,Yes
EMP000149,ST0002,Lopa Shankar,Female,Sales,Associate,30050,2015-03-05,Contract,Morning,emp000149@retailsphere.com,9741685455,Yes
EMP000150,ST0047,Pratyush Wagle,Male,Customer Support,Associate,26802,2013-11-28,Full-Time,Evening,emp000150@retailsphere.com,9614753100,Yes
EMP000151,ST0177,Anita Bandi,Female,Sales,Associate,27094,2019-09-23,Full-Time,Evening,emp000151@retailsphere.com,9388485145,Yes
EMP000152,ST0182,Anamika Prashad,Female,Sales,Supervisor,61276,2012-11-20,Contract,Evening,emp000152@retailsphere.com,9833761246,Yes
EMP000153,ST0196,Raghav Borah,Male,Sales,Associate,22907,2021-02-05,Full-Time,Evening,emp000153@retailsphere.com,9704918983,Yes
EMP000154,ST0042,Gaurangi Thakkar,Female,Billing,Supervisor,46923,2015-03-04,Full-Time,Night,emp000154@retailsphere.com,9681989536,Yes
EMP000155,ST0067,Hiral Hegde,Female,Billing,Associate,31827,2025-01-30,Full-Time,Evening,emp000155@retailsphere.com,9202131947,Yes
EMP000156,ST0054,Madhav Bhattacharyya,Male,Sales,Associate,27414,2013-07-14,Full-Time,Night,emp000156@retailsphere.com,9330605867,Yes
EMP000157,ST0154,Harini Varughese,Female,Customer Support,Associate,26649,2019-08-09,Part-Time,Evening,emp000157@retailsphere.com,9200091153,Yes
EMP000158,ST0123,Pranav Narayan,Male,Customer Support,Associate,31521,2024-04-16,Full-Time,Night,emp000158@retailsphere.com,9644196585,Yes
EMP000159,ST0096,Jalsa Sane,Female,Security,Associate,23486,2017-12-01,Full-Time,Evening,emp000159@retailsphere.com,9111397382,Yes
EMP000160,ST0053,Shravya Shroff,Female,Sales,Supervisor,51038,2023-04-20,Full-Time,Morning,emp000160@retailsphere.com,9468373341,Yes
EMP000161,ST0061,Umang Bhat,Male,Sales,Associate,25283,2026-07-08,Full-Time,Morning,emp000161@retailsphere.com,9317230310,No
EMP000162,ST0013,Ranveer Shanker,Male,Sales,Associate,24148,2017-03-06,Full-Time,Morning,emp000162@retailsphere.com,9315436507,Yes
EMP000163,ST0041,Brinda Loyal,Female,Billing,Supervisor,47545,2022-12-14,Full-Time,Evening,emp000163@retailsphere.com,9771239143,Yes
EMP000164,ST0044,Saksham Ganesh,Male,HR,Associate,22025,2016-02-18,Full-Time,Morning,emp000164@retailsphere.com,9783523065,Yes
EMP000165,ST0022,Maanas Tara,Male,Customer Support,Senior Associate,40424,2016-03-10,Full-Time,Night,emp000165@retailsphere.com,9637905507,Yes
EMP000166,ST0120,Neel Ben,Male,Sales,Senior Associate,37419,2020-06-12,Full-Time,Evening,emp000166@retailsphere.com,9158004128,Yes
EMP000167,ST0189,Waida Pingle,Female,Sales,Associate,30752,2023-09-15,Full-Time,Evening,emp000167@retailsphere.com,9946584966,Yes
EMP000168,ST0191,Nidhi Gade,Female,Billing,Associate,25293,2025-09-24,Full-Time,Evening,emp000168@retailsphere.com,9251406347,Yes
EMP000169,ST0019,Vinaya Dewan,Female,Sales,Senior Associate,42243,2012-12-31,Full-Time,Morning,emp000169@retailsphere.com,9794265246,Yes
EMP000170,ST0139,Nitesh Sahni,Male,Sales,Associate,29547,2017-07-06,Contract,Evening,emp000170@retailsphere.com,9907015185,Yes
EMP000171,ST0068,Eesha Murty,Female,Sales,Associate,27967,2014-07-14,Full-Time,Night,emp000171@retailsphere.com,9895311904,Yes
EMP000172,ST0113,Sudiksha Chahal,Female,Sales,Associate,26258,2019-09-06,Full-Time,Evening,emp000172@retailsphere.com,9517155418,Yes
EMP000173,ST0085,Ekani Hora,Female,Sales,Senior Associate,42689,2018-07-29,Full-Time,Morning,emp000173@retailsphere.com,9557983369,Yes
EMP000174,ST0140,Oviya Seshadri,Female,Customer Support,Supervisor,47742,2013-05-17,Full-Time,Evening,emp000174@retailsphere.com,9585427190,Yes
EMP000175,ST0098,Avi Puri,Male,Inventory,Associate,26232,2025-11-23,Full-Time,Evening,emp000175@retailsphere.com,9980165243,Yes
EMP000176,ST0113,Aarav Sagar,Male,Sales,Associate,23383,2022-11-07,Full-Time,Evening,emp000176@retailsphere.com,9669033967,Yes
EMP000177,ST0067,Dakshesh Peri,Male,Security,Associate,27166,2024-04-24,Full-Time,Evening,emp000177@retailsphere.com,9136485964,Yes
EMP000178,ST0138,Vansha Sane,Female,Sales,Associate,28857,2024-07-20,Full-Time,Evening,emp000178@retailsphere.com,9388325354,Yes
EMP000179,ST0091,Watika Mahal,Female,Sales,Supervisor,52747,2021-06-08,Full-Time,Night,emp000179@retailsphere.com,9723592895,Yes
EMP000180,ST0005,Patrick Lal,Male,Billing,Associate,23397,2020-06-16,Full-Time,Morning,emp000180@retailsphere.com,9668725999,Yes
EMP000181,ST0150,Lohit Mittal,Male,Security,Senior Associate,36717,2022-06-21,Full-Time,Night,emp000181@retailsphere.com,9474230082,Yes
EMP000182,ST0077,Ojasvi Manda,Female,Billing,Associate,24278,2018-02-14,Full-Time,Morning,emp000182@retailsphere.com,9457705877,Yes
EMP000183,ST0144,Jagdish Toor,Male,Billing,Senior Associate,33319,2026-07-18,Full-Time,Morning,emp000183@retailsphere.com,9284047609,Yes
EMP000184,ST0196,Watika Wason,Female,Security,Associate,31507,2012-11-11,Full-Time,Evening,emp000184@retailsphere.com,9409717439,Yes
EMP000185,ST0158,Onkar Soni,Male,Billing,Supervisor,60625,2019-06-11,Full-Time,Evening,emp000185@retailsphere.com,9567638038,Yes
EMP000186,ST0092,Riya Bawa,Female,Inventory,Associate,22110,2022-12-17,Full-Time,Evening,emp000186@retailsphere.com,9428064533,Yes
EMP000187,ST0023,Radhika Khanna,Female,Inventory,Associate,22356,2014-12-13,Full-Time,Morning,emp000187@retailsphere.com,9332406734,Yes
